g-qp,t-qp,g-qp,t-qp,distance,bitrate,qoe
16,22,16,22,5,46.78,8
16,22,16,22,5,46.78,9
16,22,16,22,5,46.78,6
16,22,16,22,5,46.78,6
16,22,16,22,5,46.78,9
16,22,16,22,5,46.78,6
16,22,16,22,5,46.78,9
16,22,16,22,5,46.78,7
16,22,16,22,5,46.78,9
16,22,16,22,5,46.78,7
16,22,16,22,5,16.67,4
16,22,16,22,5,16.67,7
16,22,16,22,5,16.67,8
16,22,16,22,5,16.67,8
16,22,16,22,5,16.67,8
16,22,16,22,5,16.67,10
16,22,16,22,5,16.67,8
16,22,16,22,5,16.67,7
16,22,16,22,5,16.67,8
16,22,16,22,5,16.67,7
16,22,16,22,5,16.67,7
16,22,16,22,5,16.67,8
16,22,16,22,5,16.67,9
16,22,16,22,5,16.67,8
16,22,16,22,5,16.67,9
16,22,16,22,5,16.67,8
16,22,16,22,5,16.67,7
16,22,16,22,5,16.67,7
16,22,16,22,5,16.67,8
16,22,16,22,5,16.67,8
16,22,16,22,5,16.67,4
16,22,16,22,5,16.67,7
16,22,16,22,5,16.67,9
16,22,16,22,5,16.67,7
16,22,16,22,5,16.67,8
16,22,16,22,5,16.67,5
16,22,16,22,5,16.67,10
16,22,16,22,5,16.67,6
16,22,16,22,5,16.67,9
16,22,16,22,5,16.67,8
16,22,16,22,5,16.67,9
16,22,16,22,5,16.67,5
16,22,16,22,5,22.9,8
16,22,16,22,5,22.9,8
16,22,16,22,5,22.9,8
16,22,16,22,5,22.9,7
16,22,16,22,5,22.9,7
16,22,16,22,5,22.9,9
16,22,16,22,5,22.9,7
16,22,16,22,5,22.9,8
16,22,16,22,5,22.9,6
16,22,16,22,5,22.9,6
16,22,16,22,5,22.9,5
16,22,16,22,5,22.9,6
16,22,16,22,5,22.9,8
16,22,16,22,5,22.9,9
16,22,16,22,5,22.9,7
16,22,16,22,5,22.9,9
16,22,16,22,5,22.9,8
16,22,16,22,5,22.9,9
16,22,16,22,5,22.9,7
16,22,16,22,5,22.9,8
16,22,16,22,5,22.9,4
16,22,16,22,5,22.9,8
16,22,16,22,5,22.9,8
16,22,16,22,5,22.9,6
16,22,16,22,5,22.9,5
16,22,16,22,5,22.9,7
16,22,16,22,5,22.9,9
16,22,16,22,5,22.9,7
16,22,16,22,5,22.9,7
16,22,16,22,5,22.9,7
16,22,16,22,5,22.9,7
16,22,16,22,5,22.9,6
16,22,16,22,5,35.29,8
16,22,16,22,5,35.29,7
16,22,16,22,5,35.29,8
16,22,16,22,5,35.29,8
16,22,16,22,5,35.29,6
16,22,16,22,5,35.29,8
16,22,16,22,5,35.29,7
16,22,16,22,5,35.29,9
16,22,16,22,5,35.29,8
16,22,16,22,5,35.29,7
16,22,16,22,5,35.29,6
16,22,16,22,5,35.29,9
16,22,16,22,5,35.29,9
16,22,16,22,5,35.29,9
16,22,16,22,5,35.29,8
16,22,16,22,5,35.29,8
16,22,16,22,5,35.29,8
16,22,16,22,5,35.29,9
16,22,16,22,5,35.29,8
16,22,16,22,5,35.29,9
16,22,16,22,5,35.29,4
16,22,16,22,5,35.29,8
16,22,16,22,5,35.29,6
16,22,16,22,5,35.29,7
16,22,16,22,5,35.29,7
16,22,16,22,5,35.29,5
16,22,16,22,5,35.29,10
16,22,16,22,5,35.29,8
16,22,16,22,5,35.29,8
16,22,16,22,5,35.29,7
16,22,16,22,5,35.29,8
16,22,16,22,5,35.29,6
