user,objects,qoe,time
24,LongDress_r5_r1_d500,4,2023-03-20-14:11:27+01:00
24,Loot_r1_r1_d500,5,2023-03-20-14:11:47+01:00
24,Loot_r1_r3_d500,7,2023-03-20-14:12:00+01:00
24,LongDress_r1_r3_d500,5,2023-03-20-14:12:18+01:00
24,Loot_r1_r5_d500,6,2023-03-20-14:12:47+01:00
24,LongDress_r3_r3_d500,9,2023-03-20-14:13:01+01:00
24,LongDress_r3_r5_d500,10,2023-03-20-14:13:16+01:00
24,Loot_r3_r1_d500,6,2023-03-20-14:13:32+01:00
24,Loot_r5_r5_d500,10,2023-03-20-14:13:44+01:00
24,Loot_r3_r5_d500,10,2023-03-20-14:13:55+01:00
24,Loot_r5_r3_d500,10,2023-03-20-14:14:07+01:00
24,LongDress_r1_r5_d500,6,2023-03-20-14:14:21+01:00
24,LongDress_r5_r3_d500,7,2023-03-20-14:14:35+01:00
24,RedAndBlack_r3_r3_d125,2,2023-03-20-14:15:05+01:00
24,Soldier_r3_r3_d250,4,2023-03-20-14:15:17+01:00
24,Soldier_r5_r5_d125,4,2023-03-20-14:15:29+01:00
24,RedAndBlack_r1_r1_d125,1,2023-03-20-14:15:42+01:00
24,Soldier_r1_r1_d250,1,2023-03-20-14:15:54+01:00
24,RedAndBlack_r3_r3_d250,6,2023-03-20-14:16:06+01:00
24,RedAndBlack_r5_r5_d500,9,2023-03-20-14:16:19+01:00
24,Soldier_r5_r5_d500,8,2023-03-20-14:16:33+01:00
24,RedAndBlack_r1_r1_d250,1,2023-03-20-14:16:45+01:00
24,RedAndBlack_r5_r5_d125,7,2023-03-20-14:17:00+01:00
24,RedAndBlack_r1_r1_d500,3,2023-03-20-14:17:14+01:00
24,Soldier_r3_r3_d125,1,2023-03-20-14:17:29+01:00
24,Soldier_r1_r1_d500,1,2023-03-20-14:17:42+01:00
24,RedAndBlack_r5_r5_d250,9,2023-03-20-14:17:55+01:00
24,RedAndBlack_r3_r3_d500,10,2023-03-20-14:18:09+01:00
24,Soldier_r5_r5_d250,8,2023-03-20-14:18:25+01:00
24,Soldier_r1_r1_d125,1,2023-03-20-14:18:40+01:00
24,Soldier_r3_r3_d500,7,2023-03-20-14:19:02+01:00
25,RedAndBlack_r3_r3_d250,4,2023-03-20-15:14:07+01:00
25,RedAndBlack_r5_r5_d250,4,2023-03-20-15:14:21+01:00
25,RedAndBlack_r1_r1_d500,3,2023-03-20-15:14:42+01:00
25,RedAndBlack_r5_r5_d125,6,2023-03-20-15:15:01+01:00
25,RedAndBlack_r3_r3_d500,5,2023-03-20-15:15:21+01:00
25,Soldier_r5_r5_d250,6,2023-03-20-15:15:38+01:00
25,RedAndBlack_r5_r5_d500,7,2023-03-20-15:15:54+01:00
25,RedAndBlack_r1_r1_d250,3,2023-03-20-15:16:12+01:00
25,RedAndBlack_r3_r3_d125,5,2023-03-20-15:16:29+01:00
25,Soldier_r1_r1_d125,2,2023-03-20-15:16:47+01:00
25,RedAndBlack_r1_r1_d125,2,2023-03-20-15:16:59+01:00
25,Soldier_r1_r1_d500,4,2023-03-20-15:17:18+01:00
25,Soldier_r5_r5_d500,7,2023-03-20-15:17:35+01:00
25,Soldier_r3_r3_d125,4,2023-03-20-15:17:54+01:00
25,Soldier_r3_r3_d250,5,2023-03-20-15:18:09+01:00
25,Soldier_r1_r1_d250,3,2023-03-20-15:18:31+01:00
25,Soldier_r5_r5_d125,6,2023-03-20-15:18:47+01:00
25,Soldier_r3_r3_d500,6,2023-03-20-15:19:05+01:00
25,LongDress_r3_r5_d500,7,2023-03-20-15:19:23+01:00
25,Loot_r5_r5_d500,8,2023-03-20-15:19:37+01:00
25,Loot_r1_r1_d500,5,2023-03-20-15:19:56+01:00
25,LongDress_r1_r5_d500,5,2023-03-20-15:20:08+01:00
25,Loot_r5_r1_d500,4,2023-03-20-15:20:24+01:00
25,LongDress_r1_r1_d500,4,2023-03-20-15:20:36+01:00
25,LongDress_r1_r3_d500,4,2023-03-20-15:20:48+01:00
25,Loot_r1_r3_d500,4,2023-03-20-15:21:04+01:00
25,LongDress_r3_r1_d500,5,2023-03-20-15:21:18+01:00
25,Loot_r5_r3_d500,7,2023-03-20-15:21:33+01:00
25,Loot_r3_r3_d500,8,2023-03-20-15:21:48+01:00
25,Loot_r1_r5_d500,3,2023-03-20-15:22:04+01:00
25,Loot_r3_r5_d500,5,2023-03-20-15:22:19+01:00
25,LongDress_r5_r5_d500,7,2023-03-20-15:22:34+01:00
